run,model,metric,value
0,HF,MAE,0.003431642350984365
0,HF,L0,0.0
1,HF,MAE,0.00358318800649271
1,HF,L0,0.0
2,HF,MAE,0.004496980891309746
2,HF,L0,0.0
3,HF,MAE,2.8275
3,HF,L0,1.0
4,HF,MAE,0.00524816141802624
4,HF,L0,0.0
5,HF,MAE,0.30548695983525614
5,HF,L0,0.3333333333333333
6,HF,MAE,0.002354428684300136
6,HF,L0,0.0
7,HF,MAE,0.0043178599251620375
7,HF,L0,0.0
8,HF,MAE,0.005193370207673409
8,HF,L0,0.0
9,HF,MAE,0.0037062586444079892
9,HF,L0,0.0
10,HF,MAE,0.01264158738188867
10,HF,L0,0.0
11,HF,MAE,0.009281223742488562
11,HF,L0,0.0
12,HF,MAE,0.013064465958710664
12,HF,L0,0.0
13,HF,MAE,0.005301305021044034
13,HF,L0,0.0
14,HF,MAE,0.002524842595799645
14,HF,L0,0.0
15,HF,MAE,0.0010695044611814947
15,HF,L0,0.0
16,HF,MAE,0.008531282889125413
16,HF,L0,0.0
17,HF,MAE,0.004031607469563506
17,HF,L0,0.0
18,HF,MAE,0.0022665865909757
18,HF,L0,0.0
19,HF,MAE,0.0018239510072519116
19,HF,L0,0.0
20,HF,MAE,0.008495701179743215
20,HF,L0,0.0
21,HF,MAE,0.004945360196187978
21,HF,L0,0.0
22,HF,MAE,0.0073643604772546944
22,HF,L0,0.0
23,HF,MAE,0.0021089493286005068
23,HF,L0,0.0
24,HF,MAE,0.012478214430029777
24,HF,L0,0.0
25,HF,MAE,0.004479773986089605
25,HF,L0,0.0
26,HF,MAE,0.12871915772410691
26,HF,L0,0.3333333333333333
27,HF,MAE,0.003422229620161782
27,HF,L0,0.0
28,HF,MAE,0.005764947300478329
28,HF,L0,0.0
29,HF,MAE,0.015637872164179722
29,HF,L0,0.0
30,HF,MAE,0.003919334544778247
30,HF,L0,0.0
31,HF,MAE,2.8275
31,HF,L0,1.0
32,HF,MAE,0.009953185528632003
32,HF,L0,0.0
33,HF,MAE,0.001638817021468883
33,HF,L0,0.0
34,HF,MAE,0.31258681133384786
34,HF,L0,0.3333333333333333
35,HF,MAE,0.0027535287236401668
35,HF,L0,0.0
36,HF,MAE,0.00514461432848895
36,HF,L0,0.0
37,HF,MAE,0.0046693814022326224
37,HF,L0,0.0
38,HF,MAE,0.13402273715832858
38,HF,L0,0.3333333333333333
39,HF,MAE,0.0030024105302560444
39,HF,L0,0.0
40,HF,MAE,2.8275
40,HF,L0,1.0
41,HF,MAE,0.0009543058463697129
41,HF,L0,0.0
42,HF,MAE,0.0028136333187594315
42,HF,L0,0.0
43,HF,MAE,0.0005121017996343458
43,HF,L0,0.0
44,HF,MAE,0.003363372941091014
44,HF,L0,0.0
45,HF,MAE,0.003632346646751314
45,HF,L0,0.0
46,HF,MAE,0.0019983923582605756
46,HF,L0,0.0
47,HF,MAE,0.00525747738935195
47,HF,L0,0.0
48,HF,MAE,0.005534216101364661
48,HF,L0,0.0
49,HF,MAE,0.019259618747874768
49,HF,L0,0.0
50,HF,MAE,0.00445852552268769
50,HF,L0,0.0
51,HF,MAE,0.008440965771713896
51,HF,L0,0.0
52,HF,MAE,0.002005202339131762
52,HF,L0,0.0
53,HF,MAE,0.006479463687617232
53,HF,L0,0.0
54,HF,MAE,0.010836175457356712
54,HF,L0,0.0
55,HF,MAE,0.009875171727875234
55,HF,L0,0.0
56,HF,MAE,0.00962300218169379
56,HF,L0,0.0
57,HF,MAE,0.005957589191533386
57,HF,L0,0.0
58,HF,MAE,0.0022491257573114543
58,HF,L0,0.0
59,HF,MAE,0.0010376807809283073
59,HF,L0,0.0
60,HF,MAE,0.0034104941701875308
60,HF,L0,0.0
61,HF,MAE,0.006174770918008277
61,HF,L0,0.0
62,HF,MAE,0.008348899758003098
62,HF,L0,0.0
63,HF,MAE,2.8275
63,HF,L0,1.0
64,HF,MAE,0.14638970591721262
64,HF,L0,0.3333333333333333
65,HF,MAE,0.0028147262745016333
65,HF,L0,0.0
66,HF,MAE,0.004876972199383545
66,HF,L0,0.0
67,HF,MAE,0.0012546876830726028
67,HF,L0,0.0
68,HF,MAE,2.8275
68,HF,L0,1.0
69,HF,MAE,0.16651887292358158
69,HF,L0,0.3333333333333333
70,HF,MAE,0.0031855235503475687
70,HF,L0,0.0
71,HF,MAE,0.004298420700287325
71,HF,L0,0.0
72,HF,MAE,0.007955190554509828
72,HF,L0,0.0
73,HF,MAE,0.005189610422850405
73,HF,L0,0.0
74,HF,MAE,0.00424395490203433
74,HF,L0,0.0
75,HF,MAE,0.006100138747913236
75,HF,L0,0.0
76,HF,MAE,0.004598301866875348
76,HF,L0,0.0
77,HF,MAE,0.002741401608876065
77,HF,L0,0.0
78,HF,MAE,0.0021657294766386226
78,HF,L0,0.0
79,HF,MAE,0.004986209891936766
79,HF,L0,0.0
80,HF,MAE,0.012306982124576815
80,HF,L0,0.0
81,HF,MAE,0.0068226294887678285
81,HF,L0,0.0
82,HF,MAE,2.8275
82,HF,L0,1.0
83,HF,MAE,0.008761956101611873
83,HF,L0,0.0
84,HF,MAE,0.0014163914914593345
84,HF,L0,0.0
85,HF,MAE,0.0004889457806985797
85,HF,L0,0.0
86,HF,MAE,0.006400325902582438
86,HF,L0,0.0
87,HF,MAE,0.0019071663754288704
87,HF,L0,0.0
88,HF,MAE,0.015162404905563587
88,HF,L0,0.0
89,HF,MAE,0.0014091020119570974
89,HF,L0,0.0
90,HF,MAE,0.003113133638539975
90,HF,L0,0.0
91,HF,MAE,0.0035124304719765936
91,HF,L0,0.0
92,HF,MAE,0.0050904100281808085
92,HF,L0,0.0
93,HF,MAE,0.0035082513323569653
93,HF,L0,0.0
94,HF,MAE,2.5786011707950798
94,HF,L0,0.6666666666666666
95,HF,MAE,0.0029986756694859173
95,HF,L0,0.0
96,HF,MAE,2.4550720928827765
96,HF,L0,0.3333333333333333
97,HF,MAE,0.004197010159514403
97,HF,L0,0.0
98,HF,MAE,0.24379783813142197
98,HF,L0,0.3333333333333333
99,HF,MAE,0.20786753795419327
99,HF,L0,0.3333333333333333
0,LF,MAE,0.07493524777153059
0,LF,L0,0.3333333333333333
1,LF,MAE,0.06597078548371377
1,LF,L0,0.0
2,LF,MAE,0.027765334324910157
2,LF,L0,0.0
3,LF,MAE,0.04955505196645579
3,LF,L0,0.0
4,LF,MAE,0.12079125398112801
4,LF,L0,0.3333333333333333
5,LF,MAE,0.022438677036030696
5,LF,L0,0.0
6,LF,MAE,0.03340354447258506
6,LF,L0,0.0
7,LF,MAE,0.03657689970578171
7,LF,L0,0.0
8,LF,MAE,0.07759481861021762
8,LF,L0,0.3333333333333333
9,LF,MAE,0.01442872161139308
9,LF,L0,0.0
10,LF,MAE,0.05242822629982288
10,LF,L0,0.3333333333333333
11,LF,MAE,0.17339030691235544
11,LF,L0,0.3333333333333333
12,LF,MAE,0.01521413022760279
12,LF,L0,0.0
13,LF,MAE,0.02412282929622203
13,LF,L0,0.0
14,LF,MAE,0.005336620742618675
14,LF,L0,0.0
15,LF,MAE,0.006234449687877536
15,LF,L0,0.0
16,LF,MAE,0.01943566960164872
16,LF,L0,0.0
17,LF,MAE,0.02368649439547421
17,LF,L0,0.0
18,LF,MAE,0.03747106693532351
18,LF,L0,0.0
19,LF,MAE,0.019447697122414787
19,LF,L0,0.0
20,LF,MAE,0.017904592718631207
20,LF,L0,0.0
21,LF,MAE,0.3165989512018046
21,LF,L0,0.3333333333333333
22,LF,MAE,0.05803441374564286
22,LF,L0,0.0
23,LF,MAE,0.06887107343785978
23,LF,L0,0.3333333333333333
24,LF,MAE,0.014978888378096827
24,LF,L0,0.0
