run,model,metric,value
0,HF,MAE,2.034337056099745
0,HF,L0,1.2857142857142858
1,HF,MAE,2.2576019469622937
1,HF,L0,1.8571428571428572
2,HF,MAE,2.2430588235011784
2,HF,L0,1.7142857142857142
3,HF,MAE,2.229036054366626
3,HF,L0,1.8571428571428572
4,HF,MAE,2.169318289116922
4,HF,L0,2.0
5,HF,MAE,2.092890323605102
5,HF,L0,1.5714285714285714
6,HF,MAE,2.0160929490895794
6,HF,L0,1.2857142857142858
7,HF,MAE,2.113608401644999
7,HF,L0,1.8571428571428572
8,HF,MAE,2.147776576223091
8,HF,L0,2.142857142857143
9,HF,MAE,2.1327684840306023
9,HF,L0,2.0
10,HF,MAE,2.147415800278978
10,HF,L0,1.5714285714285714
11,HF,MAE,2.0807102219355653
11,HF,L0,1.5714285714285714
12,HF,MAE,2.1334794739589333
12,HF,L0,1.5714285714285714
13,HF,MAE,2.2434809830994022
13,HF,L0,1.8571428571428572
14,HF,MAE,2.1122616402672407
14,HF,L0,1.4285714285714286
15,HF,MAE,2.1049719854747204
15,HF,L0,1.5714285714285714
16,HF,MAE,2.127304945547772
16,HF,L0,1.8571428571428572
17,HF,MAE,2.157542638985262
17,HF,L0,1.7142857142857142
18,HF,MAE,2.036115641890901
18,HF,L0,1.4285714285714286
19,HF,MAE,2.2485902905276594
19,HF,L0,1.8571428571428572
20,HF,MAE,2.1277411769906722
20,HF,L0,1.4285714285714286
21,HF,MAE,2.0903543700462333
21,HF,L0,1.7142857142857142
22,HF,MAE,2.29085159470309
22,HF,L0,2.0
23,HF,MAE,2.255767916362632
23,HF,L0,1.8571428571428572
24,HF,MAE,2.088553910989612
24,HF,L0,1.4285714285714286
25,HF,MAE,2.1974879929090188
25,HF,L0,1.8571428571428572
26,HF,MAE,2.094785755461126
26,HF,L0,1.7142857142857142
27,HF,MAE,2.2540036161414925
27,HF,L0,2.142857142857143
28,HF,MAE,2.0493815319495323
28,HF,L0,1.4285714285714286
29,HF,MAE,2.1154563972842455
29,HF,L0,1.1428571428571428
30,HF,MAE,2.1210109980671725
30,HF,L0,1.5714285714285714
31,HF,MAE,2.256561892488926
31,HF,L0,1.5714285714285714
32,HF,MAE,2.1166804764187854
32,HF,L0,1.8571428571428572
33,HF,MAE,2.0710776886516293
33,HF,L0,1.4285714285714286
34,HF,MAE,2.0591911185690654
34,HF,L0,1.2857142857142858
35,HF,MAE,2.1599984505831107
35,HF,L0,2.142857142857143
36,HF,MAE,2.1160337552310557
36,HF,L0,1.4285714285714286
37,HF,MAE,2.1485400013119094
37,HF,L0,1.4285714285714286
38,HF,MAE,2.27022783694651
38,HF,L0,1.8571428571428572
39,HF,MAE,2.0927309359432305
39,HF,L0,1.4285714285714286
40,HF,MAE,2.248665605528383
40,HF,L0,1.8571428571428572
41,HF,MAE,2.105224360428486
41,HF,L0,1.5714285714285714
42,HF,MAE,2.070189088458941
42,HF,L0,1.5714285714285714
43,HF,MAE,2.298543636082229
43,HF,L0,1.7142857142857142
44,HF,MAE,2.239874145509825
44,HF,L0,1.7142857142857142
45,HF,MAE,2.1444722267087206
45,HF,L0,2.142857142857143
46,HF,MAE,2.402867626748216
46,HF,L0,1.8571428571428572
47,HF,MAE,2.1246370022572183
47,HF,L0,1.7142857142857142
48,HF,MAE,2.0660188748608515
48,HF,L0,1.2857142857142858
49,HF,MAE,2.063879991986621
49,HF,L0,1.5714285714285714
50,HF,MAE,2.179834736453677
50,HF,L0,1.7142857142857142
51,HF,MAE,2.058409695687861
51,HF,L0,1.2857142857142858
52,HF,MAE,2.0227888925445194
52,HF,L0,1.1428571428571428
53,HF,MAE,2.0550740612391274
53,HF,L0,1.4285714285714286
54,HF,MAE,1.989496712428256
54,HF,L0,1.2857142857142858
55,HF,MAE,2.240735568219792
55,HF,L0,1.8571428571428572
56,HF,MAE,2.139070801811869
56,HF,L0,1.8571428571428572
